Name,ClubID
Tigres UANL,1
Newcastle United Jets FC,2
Charlton Athletic FC,3
FC Barcelona,4
Galatasaray SK,5
Atletico Madrid,6
US Citta di Palermo,7
Manchester United FC,8
Manchester City FC,9
FC Schalke 04,10
SSC Napoli,11
Club Santos Laguna,12
Sporting CP,13
SS Lazio,14
FSV Mainz 05,15
Liverpool FC,16
Fluminense FC,17
FC Basel,18
SC Heerenveen,19
Southampton FC,20
Malmo FF,21
Al Ain FC,22
GNK Dinamo Zagreb,23
San Jose Earthquakes,24
New York Red Bulls,25
Shakhtar Donetsk,26
Chelsea FC,27
Real Espana,28
Cerezo Osaka,29
Valencia CF,30
Real Madrid CF,31
New England Revolution,32
FC Rubin Kazan,33
1. FC Nuernberg,34
CA River Plate,35
AC Milan,36
Fenerbahce SK,37
Arsenal FC,38
FC Porto,39
Watford FC,40
TSV 1860 Muenchen,41
VfB Stuttgart,42
FC Zuerich,43
Cruz Azul FC,44
FC Bayern Muenchen,45
Borussia Dortmund,46
Seattle Sounders FC,47
Swansea City AFC,48
Konyaspor,49
Lille OSC,50
FC Dynamo Kyiv,51
RCD Espanyol,52
CF Pachuca,53
Newcastle United FC,54
FC Zenit St. Petersburg,55
Cercle Brugge,56
Real Sociedad,57
Paris Saint-Germain FC,58
Besiktas JK,59
Atletico Mineiro,60
Everton FC,61
Guizhou Renhe FC,62
Fulham FC,63
Al Jazira SCC,64
Kuban Krasnodar,65
Club Tijuana,66
Sevilla FC,67
FC Internazionale,68
FC Augsburg,69
Sunderland AFC,70
CSD Colo-Colo,71
FC Krasnodar,72
Hannover 96,73
Sangju Sangmu FC,74
CA Newells Old Boys,75
Olympiacos Piraeus FC,76
Parma FC,77
Kuwait SC,78
AS Roma,79
CSKA Moscow,80
Bayer 04 Leverkusen,81
Valenciennes FC,82
AZ Alkmaar,83
Yokohama F-Marinos,84
PSV Eindhoven,85
ACF Fiorentina,86
FC Dynamo Moscow,87
VfL Wolfsburg,88
Tractor Sazi Tabriz FC,89
LD Alajuelense,90
AIK Solna,91
Villarreal CF,92
CSD Cartagines,93
CA Monarcas Morelia,94
Tottenham Hotspur FC,95
Juventus FC,96
NEC Nijmegen,97
AS Monaco,98
FC Lokomotiv Moscow,99
Vitesse Arnheim,100
Al Gharafa SC,101
Club America,102
PAOK FC,103
Stoke City FC,104
Genoa CFC,105
FC Sochaux-Montbliard,106
SL Benfica,107
Grasshopper Club,108
Independiente Santa Fe,109
Cagliari Calcio,110
Rosenborg BK,111
Hull City FC,112
Borussia Moenchengladbach,113
CA San Lorenzo de Almagro,114
Olympique Marseille,115
Udinese Calcio,116
Puebla FC,117
Al Hilal FC,118
Toronto FC,119
Gaziantepspor,120
Celta Vigo,121
Club Africain,122
Eintracht Braunschweig,123
FSV Frankfurt,124
SV Zulte Waregem,125
Sporting Kansas City,126
Eintracht Frankfurt,127
Feyenoord Rotterdam,128
Club Leon,129
Santos FC,130
AS Nancy,131
AS Saint-Etienne,132
FC Spartak Moscow,133
Botafogo FR,134
Bolton Wanderers FC,135
Ulsan Hyundai FC,136
Cardiff City FC,137
Naft Tehran FC,138
FC Tokyo,139
CD Real Sociedad,140
Valerenga IF,141
Celtic FC,142
Sao Paulo FC,143
Atlante FC,144
Toulouse FC,145
Esteghlal Tehran FC,146
Stade Rennais FC,147
UD Las Palmas,148
SC Internacional,149
Melbourne Victory FC,150
CD Chivas USA,151
Wigan Athletic FC,152
West Bromwich Albion FC,153
TSG 1899 Hoffenheim,154
Crystal Palace FC,155
Kayseri Erciyesspor,156
FC Sion,157
CD Motagua,158
Kawasaki Frontale,159
Gamba Osaka,160
FC Lorient,161
Aalesunds FK,162
Hertha BSC,163
Norwich City FC,164
Perspolis FC,165
Palmeiras,166
Middlesbrough FC,167
FC Utrecht,168
Lekhwiya SC,169
Atalanta Bergamo,170
Columbus Crew,171
FC Twente,172
RSC Anderlecht,173
Antalyaspor AS,174
CS Herediano,175
Club Universidad de Chile,176
Bologna FC,177
FC Girondins Bordeaux,178
Umm Salal SC,179
Guangzhou Evergrande FC,180
Trabzonspor,181
Deportivo Saprissa,182
Jubilo Iwata,183
SC Freiburg,184
Nottingham Forest FC,185
Aston Villa FC,186
CD Olimpia,187
Evian TG FC,188
FC Nantes,189
FC Kobenhavn,190
Academica Coimbra,191
CS Emelec,192
Sepahan FC,193
Warri Wolves FC,194
Caykur Rizespor,195
US Sassuolo,196
Real Salt Lake,197
CR Flamengo,198
Hamburger SV,199
Houston Dynamo,200
Brisbane Roar FC,201
FC Platanias,202
Kayserispor,203
West Ham United FC,204
Deportivo Cali,205
FC Rostov,206
SC Bastia,207
KSC Lokeren,208
FK Borac Banja Luka,209
Adelaide United FC,210
Levante UD,211
Hellas Verona FC,212
CA Boca Juniors,213
Panathinaikos FC,214
Deportivo Toluca FC,215
Sporting Braga,216
CR Vasco da Gama,217
Standard Liege,218
BSC Young Boys,219
Calcio Catania,220
CF Monterrey,221
Hapoel Be'er Sheva FC,222
AC Ajaccio,223
Queens Park Rangers FC,224
Zob Ahan Isfahan FC,225
FC Anzhi Makhachkala,226
Olympique Lyonnais,227
Getafe CF,228
Barcelona SC,229
Suwon Bluewings FC,230
Qingdao Jonoon FC,231
Enugu Rangers FC,232
USM Alger,233
Jeonbuk Hyundai Motors FC,234
CS Constantine,235
Beijing Guoan,236
Orlando Pirates,237
AS Livorno,238
Granada CF,239
CSKA Sofia,240
Urawa Red Diamonds,241
Elche CF,242
HNK Hajduk Split,243
Kashiwa Reysol,244
CA Osasuna,245
Sanfrecce Hiroshima,246
LDU Quito,247
Vancouver Whitecaps FC,248
Esperance Sportive de Tunis,249
Sporting Covilha,250
Stromsgodset IF,251
RCD Mallorca,252
CD Universidad Catolica,253
Torino FC,254
Los Angeles Galaxy,255
FC Zorya Lugansk,256
FC Terek Grozny,257
Sewe Sport,258
Western Sydney Wanderers FC,259
CD El Nacional,260
AFC Ajax,261
Club Brugge KV,262
OGC Nice,263
FK Austria Wien,264
Guangzhou R&F FC,265
Atletico Nacional,266
FC Luzern,267
Elazigspor,268
Shandong Luneng Taishan FC,269
SK Sturm Graz,270
Fethiyespor,271
Aduana Stars,272
Istanbul BBSK,273
Club Nacional de Football,274
Sunshine Stars FC,275
Fortuna Duesseldorf,276
KV Waasland-Beveren,277
FC Ashdod,278
Leicester City FC,279
Stade de Reims,280
FK Amkar Perm,281
SC Heracles Almelo,282
Foolad Khuzestan FC,283
Coton Sport FC,284
Stabaek IF,285
Ferencvarosi TC,286
Swindon Town FC,287
UD Almeria,288
FC Volyn Lutsk,289
RC Lens,290
Mamelodi Sundowns FC,291
Club Libertad,292
VfR Aalen,293
Busan IPark FC,294
NK Lokomotiva Zagreb,295
Preston North End FC,296
HNK Rijeka,297
