ClubID,CountryID
1,1
2,2
3,17
4,6
5,33
6,6
7,25
8,17
9,17
10,12
11,25
12,1
13,23
14,25
15,12
16,17
17,4
18,15
19,9
20,17
21,34
22,35
23,21
24,20
25,20
26,36
27,17
28,22
29,13
30,6
31,6
32,20
33,29
34,12
35,10
36,25
37,33
38,17
39,23
40,17
41,12
42,12
43,15
44,1
45,12
46,12
47,20
48,17
49,33
50,30
51,36
52,6
53,1
54,17
55,29
56,31
57,6
58,30
59,33
60,4
61,17
62,37
63,17
64,35
65,29
66,1
67,6
68,25
69,12
70,17
71,18
72,29
73,12
74,26
75,10
76,27
77,25
78,38
79,25
80,29
81,12
82,30
83,9
84,13
85,9
86,25
87,29
88,12
89,3
90,32
91,34
92,6
93,32
94,1
95,17
96,25
97,9
98,30
99,29
100,9
101,39
102,1
103,27
104,17
105,25
106,30
107,23
108,15
109,24
110,25
111,40
112,17
113,12
114,10
115,30
116,25
117,1
118,41
119,42
120,33
121,6
122,43
123,12
124,12
125,31
126,20
127,12
128,9
129,1
130,4
131,30
132,30
133,29
134,4
135,17
136,26
137,17
138,3
139,13
140,22
141,40
142,44
143,4
144,1
145,30
146,3
147,30
148,6
149,4
150,2
151,20
152,17
153,17
154,12
155,17
156,33
157,15
158,22
159,13
160,13
161,30
162,40
163,12
164,17
165,3
166,4
167,17
168,9
169,39
170,25
171,20
172,9
173,31
174,33
175,32
176,18
177,25
178,30
179,39
180,37
181,33
182,32
183,13
184,12
185,17
186,17
187,22
188,30
189,30
190,45
191,23
192,28
193,3
194,16
195,33
196,25
197,20
198,4
199,12
200,20
201,2
202,27
203,33
204,17
205,24
206,29
207,30
208,31
209,8
210,2
211,6
212,25
213,10
214,27
215,1
216,23
217,4
218,31
219,15
220,25
221,1
222,46
223,30
224,17
225,3
226,29
227,30
228,6
229,28
230,26
231,37
232,16
233,11
234,26
235,11
236,37
237,47
238,25
239,6
240,48
241,13
242,6
243,21
244,13
245,6
246,13
247,28
248,42
249,43
250,23
251,40
252,6
253,18
254,25
255,20
256,36
257,29
258,5
259,2
260,28
261,9
262,31
263,30
264,49
265,37
266,24
267,15
268,33
269,37
270,49
271,33
272,19
273,33
274,7
275,16
276,12
277,31
278,46
279,17
280,30
281,29
282,9
283,3
284,14
285,40
286,50
287,17
288,6
289,36
290,30
291,47
292,51
293,12
294,26
295,21
296,17
297,21
